scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,state-preserving-merge,50,44,true,1,50,0.09000000000000341
message-order,sequence-guard,50,44,true,,50,0
message-order,without-sequence-guard,50,44,false,,50,0
transient-empty,empty-payload-guard,50,44,true,,50,0
transient-empty,without-empty-guard,50,44,false,,0,0
stable-identity,full-protocol,50,45,true,1,50,0.09399999999999409
stable-identity,without-stable-id,50,45,false,0,50,0.09399999999999409
state-continuity,replace-all,50,45,false,0,50,0.0012000000000114142
state-continuity,state-preserving-merge,50,45,true,1,50,0.0905999999999949
message-order,sequence-guard,50,45,true,,50,0
message-order,without-sequence-guard,50,45,false,,50,0
transient-empty,empty-payload-guard,50,45,true,,50,0
transient-empty,without-empty-guard,50,45,false,,0,0
stable-identity,full-protocol,50,46,true,1,50,0.09420000000000073
stable-identity,without-stable-id,50,46,false,0,50,0.0952000000000055
state-continuity,replace-all,50,46,false,0,50,0.0024999999999977263
state-continuity,state-preserving-merge,50,46,true,1,50,0.151299999999992
message-order,sequence-guard,50,46,true,,50,0
message-order,without-sequence-guard,50,46,false,,50,0
transient-empty,empty-payload-guard,50,46,true,,50,0
transient-empty,without-empty-guard,50,46,false,,0,0
stable-identity,full-protocol,50,47,true,1,50,0.09499999999999886
stable-identity,without-stable-id,50,47,false,0,50,0.09190000000000964
state-continuity,replace-all,50,47,false,0,50,0.0013999999999896318
state-continuity,state-preserving-merge,50,47,true,1,50,0.09780000000000655
message-order,sequence-guard,50,47,true,,50,0
message-order,without-sequence-guard,50,47,false,,50,0
transient-empty,empty-payload-guard,50,47,true,,50,0
transient-empty,without-empty-guard,50,47,false,,0,0
stable-identity,full-protocol,50,48,true,1,50,0.09439999999997895
stable-identity,without-stable-id,50,48,false,0,50,0.09219999999999118
state-continuity,replace-all,50,48,false,0,50,0.0011000000000080945
state-continuity,state-preserving-merge,50,48,true,1,50,0.29710000000000036
message-order,sequence-guard,50,48,true,,50,0
message-order,without-sequence-guard,50,48,false,,50,0
transient-empty,empty-payload-guard,50,48,true,,50,0
transient-empty,without-empty-guard,50,48,false,,0,0
stable-identity,full-protocol,50,49,true,1,50,0.09759999999999991
stable-identity,without-stable-id,50,49,false,0,50,0.10319999999998686
state-continuity,replace-all,50,49,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,49,true,1,50,0.10219999999998208
message-order,sequence-guard,50,49,true,,50,0
message-order,without-sequence-guard,50,49,false,,50,0
transient-empty,empty-payload-guard,50,49,true,,50,0
transient-empty,without-empty-guard,50,49,false,,0,0
stable-identity,full-protocol,50,50,true,1,50,0.09510000000000218
stable-identity,without-stable-id,50,50,false,0,50,0.09329999999999927
state-continuity,replace-all,50,50,false,0,50,0.0014999999999929514
state-continuity,state-preserving-merge,50,50,true,1,50,0.09129999999998972
message-order,sequence-guard,50,50,true,,50,0
message-order,without-sequence-guard,50,50,false,,50,0
transient-empty,empty-payload-guard,50,50,true,,50,0
transient-empty,without-empty-guard,50,50,false,,0,0
