scenario,variant,roster_size,repetition,outcome_success,state_preservation_rate,final_count,elapsed_ms
state-continuity,replace-all,50,59,false,0,50,0.0021000000000128694
state-continuity,state-preserving-merge,50,59,true,1,50,0.12819999999999254
message-order,sequence-guard,50,59,true,,50,0
message-order,without-sequence-guard,50,59,false,,50,0
transient-empty,empty-payload-guard,50,59,true,,50,0
transient-empty,without-empty-guard,50,59,false,,0,0
stable-identity,full-protocol,50,60,true,1,50,0.09890000000001464
stable-identity,without-stable-id,50,60,false,0,50,0.10130000000000905
state-continuity,replace-all,50,60,false,0,50,0.0014000000000180535
state-continuity,state-preserving-merge,50,60,true,1,50,0.09510000000000218
message-order,sequence-guard,50,60,true,,50,0
message-order,without-sequence-guard,50,60,false,,50,0
transient-empty,empty-payload-guard,50,60,true,,50,0
transient-empty,without-empty-guard,50,60,false,,0,0
stable-identity,full-protocol,50,61,true,1,50,0.09839999999999804
stable-identity,without-stable-id,50,61,false,0,50,0.10550000000000637
state-continuity,replace-all,50,61,false,0,50,0.0013000000000147338
state-continuity,state-preserving-merge,50,61,true,1,50,0.09499999999999886
message-order,sequence-guard,50,61,true,,50,0
message-order,without-sequence-guard,50,61,false,,50,0
transient-empty,empty-payload-guard,50,61,true,,50,0
transient-empty,without-empty-guard,50,61,false,,0,0
stable-identity,full-protocol,50,62,true,1,50,0.09899999999998954
stable-identity,without-stable-id,50,62,false,0,50,0.10010000000002606
