browser,browser_version,roster_size,repetition,phase,status,final_count,unique_stable_ids,duplicate_stable_ids,exact_identity_set,exact_public_fields,public_field_mismatch_count,public_field_mismatch_examples,contract_o0_pass,contract_o1_pass,contract_o1k_pass,contract_o2_pass,contract_failure_codes,contract_check_ms,receiver_trace_phases,receiver_rows_accepted,receiver_preparation_ms,receiver_persistence_ms,protocol_completion_latency_ms,observed_wall_time_ms,error_class,error_message
webkit,26.5,50,7,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.5354999999981374,message-received|commit-started|commit-succeeded|completion-success,50,2,1044,1056,4922,,
webkit,26.5,50,8,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.8801000000094064,message-received|commit-started|commit-succeeded|completion-success,50,3,1184,1196,11246,,
webkit,26.5,50,9,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.5774000000092201,message-received|commit-started|commit-succeeded|completion-success,50,3,1062,1074,5190,,
webkit,26.5,50,10,measurement,pass,50,50,0,true,true,0,[],true,true,true,true,,0.7231000000028871,message-received|commit-started|commit-succeeded|completion-success,50,3,1142,1162,14611,,
webkit,26.5,200,1,warmup,pass,200,200,0,true,true,0,[],true,true,true,true,,4.40669999999227,message-received|commit-started|commit-succeeded|completion-success,200,5,3928,3954,5085,,
webkit,26.5,200,1,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.052999999956228,message-received|commit-started|commit-succeeded|completion-success,200,5,3753,3775,4912,,
webkit,26.5,200,2,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.78269999998156,message-received|commit-started|commit-succeeded|completion-success,200,5,3891,3918,4977,,
webkit,26.5,200,3,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.4733999999589287,message-received|commit-started|commit-succeeded|completion-success,200,4,3876,3890,4967,,
webkit,26.5,200,4,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.821600000024773,message-received|commit-started|commit-succeeded|completion-success,200,4,3962,3974,4932,,
webkit,26.5,200,5,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,2.8558999999659136,message-received|commit-started|commit-succeeded|completion-success,200,4,3924,3941,4962,,
webkit,26.5,200,6,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,5.601299999980256,message-received|commit-started|commit-succeeded|completion-success,200,4,3921,3930,5005,,
webkit,26.5,200,7,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.023800000024494,message-received|commit-started|commit-succeeded|completion-success,200,5,3879,3891,5024,,
webkit,26.5,200,8,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.46919999999227,message-received|commit-started|commit-succeeded|completion-success,200,6,3955,3977,5067,,
webkit,26.5,200,9,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,3.557600000000093,message-received|commit-started|commit-succeeded|completion-success,200,4,3830,3854,4918,,
webkit,26.5,200,10,measurement,pass,200,200,0,true,true,0,[],true,true,true,true,,4.105099999986123,message-received|commit-started|commit-succeeded|completion-success,200,4,3845,3862,4822,,
webkit,26.5,500,1,warmup,pass,500,500,0,true,true,0,[],true,true,true,true,,8.888199999986682,message-received|commit-started|commit-succeeded|completion-success,500,7,9195,9214,10362,,
webkit,26.5,500,1,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,13.526599999982864,message-received|commit-started|commit-succeeded|completion-success,500,7,9252,9271,10504,,
webkit,26.5,500,2,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.433300000033341,message-received|commit-started|commit-succeeded|completion-success,500,6,9423,9444,10536,,
webkit,26.5,500,3,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,8.726599999994505,message-received|commit-started|commit-succeeded|completion-success,500,8,9519,9542,10894,,
webkit,26.5,500,4,measurement,pass,500,500,0,true,true,0,[],true,true,true,true,,7.976199999975506,message-received|commit-started|commit-succeeded|completion-success,500,7,9357,9369,10639,,
